	Bayesian Skyline: lin3_snps_50per_recoded_noEgypt.log			
Time	Mean	Median	Upper	Lower
7.81997027271139E-5	6.078412925195306E-4	5.489189345720681E-4	0.0014492325022325658	1.829073773379661E-4
7.986352618939292E-5	5.143558920361954E-4	4.5370579479923743E-4	0.001270529993353084	1.483097978831621E-4
8.152734965167195E-5	4.4502780953488836E-4	3.9104536100624375E-4	0.0010537866210055993	1.2938257814072314E-4
8.319117311395097E-5	4.076443887159705E-4	3.6160214518130284E-4	9.314170985787295E-4	1.2028080332748753E-4
8.485499657623E-5	3.8609576603634637E-4	3.388922959452364E-4	8.991316101317049E-4	1.0987399497781848E-4
8.651882003850902E-5	3.6262667778046734E-4	3.1594573152184764E-4	8.713889518373478E-4	9.00085978960507E-5
8.818264350078805E-5	3.210763137950852E-4	2.754964253565411E-4	8.453434727483166E-4	5.176900466557039E-5
8.984646696306707E-5	2.3222130572547698E-4	1.529240640468813E-4	7.538502180176096E-4	3.339106608138673E-5
9.15102904253461E-5	1.347066491133155E-4	8.226723496120252E-5	5.842567122574244E-4	2.7663996455756747E-5
9.317411388762512E-5	8.924402594506591E-5	7.505431667047674E-5	2.5043450792808263E-4	2.9759057584256547E-5
9.483793734990414E-5	8.422484503804317E-5	7.673511651850389E-5	1.7690512780384605E-4	3.411148408332053E-5
9.650176081218317E-5	8.615282987719136E-5	7.899513517195871E-5	1.728063967908341E-4	3.9635441077256576E-5
9.816558427446219E-5	8.77644841943612E-5	8.017850619481677E-5	1.7704639245773047E-4	4.2302357385560594E-5
9.982940773674122E-5	8.828936055446055E-5	8.069617580652192E-5	1.7824608809690018E-4	4.303667954345024E-5
1.0149323119902024E-4	8.913904742221957E-5	8.142105606435084E-5	1.8094896209049313E-4	4.39657877487171E-5
1.0315705466129927E-4	8.949235123388403E-5	8.1734176361494E-5	1.817202166883586E-4	4.459406802732034E-5
1.0482087812357829E-4	8.953536631452517E-5	8.181774417502682E-5	1.817202166883586E-4	4.462811167008784E-5
1.0648470158585731E-4	8.960245427444255E-5	8.188333481221787E-5	1.8227623557531754E-4	4.461823880489289E-5
1.0814852504813634E-4	8.959928938040238E-5	8.182924946655091E-5	1.8237062258723543E-4	4.454776836528991E-5
1.0981234851041536E-4	8.948161130541625E-5	8.174677446968292E-5	1.8239127383232927E-4	4.428808214547179E-5
1.1147617197269439E-4	8.90259951631021E-5	8.145008825390578E-5	1.807753586225316E-4	4.382479489591444E-5
1.1313999543497341E-4	8.868010886167499E-5	8.103804937259032E-5	1.8077440550289014E-4	4.267367884269084E-5
1.1480381889725244E-4	8.79960912499632E-5	8.034180633835424E-5	1.7898329741875785E-4	4.170802727473796E-5
1.1646764235953146E-4	8.75772331327771E-5	7.993962913282659E-5	1.7941533014263387E-4	4.059870886900131E-5
1.1813146582181048E-4	8.733029806799641E-5	7.963954392244307E-5	1.8208935732762677E-4	3.990433701388663E-5
1.1979528928408951E-4	8.719613670982141E-5	7.944469877119662E-5	1.827568705376127E-4	3.958030894933961E-5
1.2145911274636853E-4	8.705544777700661E-5	7.933706838271295E-5	1.827568705376127E-4	3.949747632840344E-5
1.2312293620864756E-4	8.704757383637209E-5	7.933490897164151E-5	1.827568705376127E-4	3.933630827926428E-5
1.2478675967092658E-4	8.70669554095729E-5	7.933490897164151E-5	1.8282825643383175E-4	3.9318965723425055E-5
1.264505831332056E-4	8.70628003669779E-5	7.933555580011719E-5	1.827568705376127E-4	3.9318965723425055E-5
1.2811440659548463E-4	8.706145355882106E-5	7.933555580011719E-5	1.827568705376127E-4	3.9277967066333104E-5
1.2977823005776365E-4	8.707094049300614E-5	7.933555580011719E-5	1.8282825643383175E-4	3.924453057813341E-5
1.3144205352004268E-4	8.708072790371155E-5	7.933490897164151E-5	1.8299978531962082E-4	3.924453057813341E-5
1.331058769823217E-4	8.706450805271468E-5	7.93256197495958E-5	1.8299978531962082E-4	3.9210591065076805E-5
1.3476970044460073E-4	8.705610055750492E-5	7.932238390367397E-5	1.8299978531962082E-4	3.9210591065076805E-5
1.3643352390687975E-4	8.705299641342764E-5	7.930399207654385E-5	1.8299978531962082E-4	3.916975568774525E-5
1.3809734736915878E-4	8.695712983387733E-5	7.919513523843173E-5	1.8307934676704292E-4	3.867575626156002E-5
1.397611708314378E-4	8.683651578163198E-5	7.907131994007507E-5	1.8307934676704292E-4	3.8386374898160484E-5
1.4142499429371683E-4	8.660493954831976E-5	7.886952807752343E-5	1.8299978531962082E-4	3.765274868828627E-5
1.4308881775599585E-4	8.624211603157857E-5	7.850369464736094E-5	1.8282825643383175E-4	3.6422244463399784E-5
1.4475264121827487E-4	8.572546690362725E-5	7.819242692839727E-5	1.8282825643383175E-4	3.4065455982977586E-5
1.464164646805539E-4	8.500678479365895E-5	7.769849150670006E-5	1.8237062258723543E-4	3.146212833424731E-5
1.4808028814283292E-4	8.402070356233053E-5	7.707619829564215E-5	1.8208935732762677E-4	2.6967461101895094E-5
1.4974411160511195E-4	8.295180136533397E-5	7.63386032304561E-5	1.8160474600127936E-4	2.344807672142863E-5
1.5140793506739097E-4	8.152419780307428E-5	7.508872914109623E-5	1.7898329741875785E-4	1.965473574502298E-5
1.5307175852967E-4	7.964669956575606E-5	7.356232687489481E-5	1.7820085054982173E-4	1.606383499055497E-5
1.5473558199194902E-4	7.785015577665951E-5	7.213558616560871E-5	1.7663218402382927E-4	1.3881884877341319E-5
1.5639940545422804E-4	7.64628124065818E-5	7.105440918696446E-5	1.7627396083728678E-4	1.280896091377909E-5
1.5806322891650707E-4	7.508524638926342E-5	7.015433919954475E-5	1.751930847986284E-4	1.1989737904520388E-5
1.597270523787861E-4	7.396074257105559E-5	6.905503415421191E-5	1.7663218402382927E-4	1.1004685779439048E-5
1.6139087584106512E-4	7.301080239829028E-5	6.8054388114655E-5	1.7817222249262856E-4	1.0274246751762295E-5
1.6305469930334414E-4	7.239850696428645E-5	6.747655526352264E-5	1.7817222249262856E-4	9.965871222154729E-6
1.6471852276562317E-4	NaN	NaN	NaN	NaN
