	Bayesian Skyline: Mtb.SNPs.GTR+G.BSP.Strict.DiscreteSym_UN.NoEgypt.200m.Combined_no4.thinned.log			
Time	Mean	Median	Upper	Lower
0.005623410871141075	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.005779616728672771	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.005935822586204467	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.0060920284437361635	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.00624823430126786	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.006404440158799556	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.006560646016331252	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.006716851873862948	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.006873057731394645	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.007029263588926341	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.007185469446458037	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.007341675303989733	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.0074978811615214296	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.007654087019053126	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.007810292876584822	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.007966498734116518	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.008122704591648214	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.00827891044917991	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.008435116306711607	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.008591322164243303	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.008747528021775	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.008903733879306696	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.009059939736838392	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.009216145594370088	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.009372351451901784	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.00952855730943348	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.009684763166965177	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.009840969024496873	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.00999717488202857	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.010153380739560266	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.010309586597091962	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.010465792454623658	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.010621998312155354	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.01077820416968705	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.010934410027218747	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.011090615884750443	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.011246821742282139	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.011403027599813835	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.011559233457345532	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.011715439314877228	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.011871645172408924	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.01202785102994062	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.012184056887472317	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.012340262745004013	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.012496468602535709	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
0.012652674460067405	0.02753824318879024	0.027426136939713002	0.03535891945860716	0.019799975989085936
