burnIn   <= 54003000,   maxState  = 540030000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Southern_Europe.Eastern_Africa	0.9854	0.4957	0.8896	0.1986	1.9694	1370.9476	0.4685	1.0224	
Geography.rates.Southern_Europe.Western_Africa	0.9622	0.9842	0.6509	9.3293E-5	2.945	7851.5918	1.7456E-4	0.6509	
Geography.rates.Southern_Europe.Southern_Africa	0.9514	0.9654	0.649	4.8902E-5	2.8796	8393.2054	4.8902E-5	0.649	
Geography.rates.Southern_Europe.Micronesia	0.9335	0.9685	0.6235	4.4109E-4	2.8622	7247.2382	1.6867E-3	0.6244	
Geography.rates.Southern_Europe.Melanesia	0.9416	0.9807	0.6226	1.177E-4	2.8917	6784.913	1.177E-4	0.6226	
Geography.rates.Western_Europe.Eastern_Europe	0.9734	0.6677	0.8232	7.7022E-4	2.223	431.2973	0.2908	0.9551	
Geography.rates.Western_Europe.Northern_Africa	0.9281	0.9691	0.6148	3.3657E-5	2.8775	6561.8918	3.3657E-5	0.6148	
Geography.rates.Western_Europe.Eastern_Africa	0.927	0.9371	0.6339	2.4895E-5	2.8267	7791.7314	2.4895E-5	0.6339	
Geography.rates.Western_Europe.Western_Africa	0.9778	1.0001	0.6632	7.522E-6	2.9789	8065.0525	7.522E-6	0.6632	
Geography.rates.Western_Europe.Southern_Africa	1.0024	1.0065	0.6939	1.9931E-4	3.0091	8490.5569	3.8439E-4	0.694	
Geography.rates.Western_Europe.Micronesia	0.9318	0.9744	0.6187	2.1906E-4	2.883	6632.8991	2.6362E-4	0.6187	
Geography.rates.Western_Europe.Melanesia	0.943	0.9837	0.6262	5.172E-5	2.9249	6456.2319	7.6533E-5	0.6262	
Geography.rates.Eastern_Europe.Northern_Africa	0.9531	0.9822	0.6427	1.489E-5	2.9449	5656.6796	1.489E-5	0.6427	
Geography.rates.Eastern_Europe.Eastern_Africa	2.6694	0.9965	2.5507	0.9693	4.8166	623.9956	1.796	3.0151	
Geography.rates.Eastern_Europe.Western_Africa	1.1578	0.9124	1.0089	1.1465E-4	2.8081	661.2459	1.8573E-4	1.009	
Geography.rates.Eastern_Europe.Southern_Africa	0.9756	0.9786	0.6759	3.2398E-5	2.9095	8349.545	5.6715E-5	0.6759	
Geography.rates.Eastern_Europe.Micronesia	0.9665	0.9843	0.6608	1.6337E-4	2.9311	7400.9008	9.2837E-4	0.6612	
Geography.rates.Eastern_Europe.Melanesia	0.9557	0.9804	0.6531	5.3662E-5	2.9069	7467.1628	7.7234E-5	0.6531	
Geography.rates.Northern_Africa.Eastern_Africa	0.9719	1.0062	0.6513	2.3544E-5	2.988	6925.6644	2.3544E-5	0.6513	
Geography.rates.Northern_Africa.Western_Africa	0.932	0.9848	0.6201	2.9406E-4	2.8739	6596.479	7.6905E-4	0.6203	
Geography.rates.Northern_Africa.Southern_Africa	0.9474	0.9697	0.6397	2.6972E-4	2.8918	7477.1706	9.2953E-4	0.6402	
Geography.rates.Northern_Africa.Micronesia	0.882	0.9405	0.5758	8.0024E-5	2.779	5663.4631	8.1593E-4	0.5762	
Geography.rates.Northern_Africa.Melanesia	0.8614	0.937	0.5522	1.2141E-4	2.7429	5238.3492	1.2613E-4	0.5522	
Geography.rates.Eastern_Africa.Western_Africa	1.3355	0.8047	1.2597	1.3422E-4	2.7372	514.32	0.7499	1.7088	
Geography.rates.Eastern_Africa.Southern_Africa	1.445	0.6348	1.3414	0.3808	2.6858	1243.603	0.7873	1.5376	
Geography.rates.Eastern_Africa.Micronesia	0.9714	1.0013	0.6545	5.689E-5	2.9521	7203.8611	5.689E-5	0.6545	
Geography.rates.Eastern_Africa.Melanesia	0.9555	1.0018	0.6331	2.8017E-5	2.9563	6669.3154	2.8017E-5	0.6331	
Geography.rates.Western_Africa.Southern_Africa	0.9734	0.9844	0.6664	2.9903E-5	2.9353	8706.0226	2.9903E-5	0.6664	
Geography.rates.Western_Africa.Micronesia	0.9063	0.9594	0.5942	2.0979E-4	2.8406	6146.5747	3.1683E-4	0.5943	
Geography.rates.Western_Africa.Melanesia	0.9386	0.9621	0.6341	2.6549E-4	2.8812	7158.4556	8.8583E-4	0.6344	
Geography.rates.Southern_Africa.Micronesia	0.9194	0.9801	0.5989	1.9855E-6	2.9045	6691.5466	1.9855E-6	0.5989	
Geography.rates.Southern_Africa.Melanesia	0.9295	0.9622	0.6252	9.6683E-5	2.8487	7380.1283	9.6683E-5	0.6252	
Geography.rates.Micronesia.Melanesia	0.8912	0.9534	0.5745	5.9656E-5	2.806	6630.9727	5.9656E-5	0.5745	
Geography.indicators.Eastern_Asia.Central_Asia	0.0993	0.2991	0	0	1	1854.8923	0	0	
Geography.indicators.Eastern_Asia.Western_Asia	0.1017	0.3023	0	0	1	2126.9389	0	0	
Geography.indicators.Eastern_Asia.Southern_Asia	0.0559	0.2298	0	0	1	7366.1989	0	0	
Geography.indicators.Eastern_Asia.South_Eastern_Asia	0.9958	0.0648	1	1	1	14980.0389	1	1	
Geography.indicators.Eastern_Asia.Southern_Europe	0.025	0.1562	0	0	0	15649.0691	0	0	
Geography.indicators.Eastern_Asia.Western_Europe	0.0234	0.1512	0	0	0	16766.4031	0	0	
Geography.indicators.Eastern_Asia.Eastern_Europe	0.1017	0.3022	0	0	1	410.9666	0	0	
Geography.indicators.Eastern_Asia.Northern_Africa	0.0802	0.2717	0	0	1	1630.4607	0	0	
Geography.indicators.Eastern_Asia.Eastern_Africa	0.1703	0.3759	0	0	1	636.5438	0	0	
Geography.indicators.Eastern_Asia.Western_Africa	0.0291	0.1681	0	0	0	16731.5685	0	0	
Geography.indicators.Eastern_Asia.Southern_Africa	0.0327	0.1777	0	0	0	14470.7375	0	0	
Geography.indicators.Eastern_Asia.Micronesia	0.0894	0.2853	0	0	1	1980.1409	0	0	
Geography.indicators.Eastern_Asia.Melanesia	0.1024	0.3032	0	0	1	1811.8212	0	0	
Geography.indicators.Central_Asia.Western_Asia	0.1659	0.372	0	0	1	1454.3697	0	0	
Geography.indicators.Central_Asia.Southern_Asia	0.0793	0.2702	0	0	1	2315.6617	0	0	
Geography.indicators.Central_Asia.South_Eastern_Asia	0.0956	0.2941	0	0	1	2311.3057	0	0	
Geography.indicators.Central_Asia.Southern_Europe	0.091	0.2876	0	0	1	2105.7873	0	0	
Geography.indicators.Central_Asia.Western_Europe	0.0981	0.2974	0	0	1	2566.1082	0	0	
Geography.indicators.Central_Asia.Eastern_Europe	0.057	0.2319	0	0	1	2287.4532	0	0	
Geography.indicators.Central_Asia.Northern_Africa	0.1693	0.375	0	0	1	1844.3634	0	0	
Geography.indicators.Central_Asia.Eastern_Africa	0.0368	0.1882	0	0	0	1263.8238	0	0	
Geography.indicators.Central_Asia.Western_Africa	0.0883	0.2837	0	0	1	1736.3908	0	0	
Geography.indicators.Central_Asia.Southern_Africa	0.0835	0.2767	0	0	1	2576.9035	0	0	
Geography.indicators.Central_Asia.Micronesia	0.1601	0.3667	0	0	1	1836.4478	0	0	
Geography.indicators.Central_Asia.Melanesia	0.1957	0.3968	0	0	1	1471.4227	0	0	
Geography.indicators.Western_Asia.Southern_Asia	0.0748	0.2631	0	0	1	2404.5567	0	0	
Geography.indicators.Western_Asia.South_Eastern_Asia	0.0957	0.2941	0	0	1	2221.8224	0	0	
Geography.indicators.Western_Asia.Southern_Europe	0.1001	0.3001	0	0	1	2043.6171	0	0	
Geography.indicators.Western_Asia.Western_Europe	0.0962	0.2949	0	0	1	2498.22	0	0	
Geography.indicators.Western_Asia.Eastern_Europe	0.0574	0.2327	0	0	1	1989.9861	0	0	
Geography.indicators.Western_Asia.Northern_Africa	0.1787	0.3831	0	0	1	1329.778	0	0	
Geography.indicators.Western_Asia.Eastern_Africa	0.0367	0.188	0	0	0	2066.8909	0	0	
Geography.indicators.Western_Asia.Western_Africa	0.0778	0.2678	0	0	1	1804.0728	0	0	
Geography.indicators.Western_Asia.Southern_Africa	0.0979	0.2972	0	0	1	2317.6452	0	0	
Geography.indicators.Western_Asia.Micronesia	0.1655	0.3716	0	0	1	1743.6079	0	0	
Geography.indicators.Western_Asia.Melanesia	0.1701	0.3757	0	0	1	1494.1611	0	0	
Geography.indicators.Southern_Asia.South_Eastern_Asia	0.0669	0.2498	0	0	1	171.5698	0	0	
Geography.indicators.Southern_Asia.Southern_Europe	0.0336	0.1801	0	0	0	5837.5219	0	0	
Geography.indicators.Southern_Asia.Western_Europe	0.0639	0.2446	0	0	1	640.3566	0	0	
Geography.indicators.Southern_Asia.Eastern_Europe	0.554	0.4971	1	0	1	107.8282	1	1	
Geography.indicators.Southern_Asia.Northern_Africa	0.0751	0.2636	0	0	1	2106.4334	0	0	
Geography.indicators.Southern_Asia.Eastern_Africa	0.6898	0.4626	1	0	1	55.0117	1	1	*
Geography.indicators.Southern_Asia.Western_Africa	0.0601	0.2377	0	0	1	155.3316	0	0	
Geography.indicators.Southern_Asia.Southern_Africa	0.0319	0.1757	0	0	0	4662.9637	0	0	
Geography.indicators.Southern_Asia.Micronesia	0.0815	0.2735	0	0	1	2468.0702	0	0	
Geography.indicators.Southern_Asia.Melanesia	0.0752	0.2637	0	0	1	2141.2269	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Europe	0.0235	0.1516	0	0	0	17447.1858	0	0	
Geography.indicators.South_Eastern_Asia.Western_Europe	0.025	0.1562	0	0	0	15324.7648	0	0	
Geography.indicators.South_Eastern_Asia.Eastern_Europe	0.344	0.475	0	0	1	57.8581	0	0	*
Geography.indicators.South_Eastern_Asia.Northern_Africa	0.0939	0.2917	0	0	1	2336.8624	0	0	
Geography.indicators.South_Eastern_Asia.Eastern_Africa	0.6392	0.4802	1	0	1	54.8181	1	1	*
Geography.indicators.South_Eastern_Asia.Western_Africa	0.0175	0.1312	0	0	0	17003.0569	0	0	
Geography.indicators.South_Eastern_Asia.Southern_Africa	0.0227	0.149	0	0	0	14849.1104	0	0	
Geography.indicators.South_Eastern_Asia.Micronesia	0.0909	0.2875	0	0	1	2307.5398	0	0	
Geography.indicators.South_Eastern_Asia.Melanesia	0.1038	0.305	0	0	1	2254.0092	0	0	
Geography.indicators.Southern_Europe.Western_Europe	0.0253	0.1571	0	0	0	16425.4196	0	0	
Geography.indicators.Southern_Europe.Eastern_Europe	0.0545	0.2271	0	0	1	1162.9874	0	0	
Geography.indicators.Southern_Europe.Northern_Africa	0.0917	0.2886	0	0	1	2374.3744	0	0	
Geography.indicators.Southern_Europe.Eastern_Africa	0.9931	0.083	1	1	1	6164.1622	1	1	
Geography.indicators.Southern_Europe.Western_Africa	0.0192	0.1371	0	0	0	19344.8431	0	0	
Geography.indicators.Southern_Europe.Southern_Africa	0.0508	0.2197	0	0	1	15835.9032	0	0	
Geography.indicators.Southern_Europe.Micronesia	0.101	0.3014	0	0	1	2108.422	0	0	
Geography.indicators.Southern_Europe.Melanesia	0.0901	0.2863	0	0	1	2137.33	0	0	
Geography.indicators.Western_Europe.Eastern_Europe	0.8797	0.3253	1	0	1	753.8197	1	1	
Geography.indicators.Western_Europe.Northern_Africa	0.1185	0.3232	0	0	1	1841.4405	0	0	
Geography.indicators.Western_Europe.Eastern_Africa	0.1529	0.3599	0	0	1	688.5378	0	0	
Geography.indicators.Western_Europe.Western_Africa	0.0219	0.1464	0	0	0	15248.2207	0	0	
Geography.indicators.Western_Europe.Southern_Africa	0.0271	0.1624	0	0	0	14571.753	0	0	
Geography.indicators.Western_Europe.Micronesia	0.0976	0.2968	0	0	1	2017.777	0	0	
Geography.indicators.Western_Europe.Melanesia	0.0972	0.2962	0	0	1	2571.4876	0	0	
Geography.indicators.Eastern_Europe.Northern_Africa	0.055	0.2279	0	0	1	2409.6884	0	0	
Geography.indicators.Eastern_Europe.Eastern_Africa	0.9847	0.1229	1	1	1	66.4873	1	1	*
Geography.indicators.Eastern_Europe.Western_Africa	0.3612	0.4804	0	0	1	61.2491	0	0	*
Geography.indicators.Eastern_Europe.Southern_Africa	0.0688	0.2531	0	0	1	961.1424	0	0	
Geography.indicators.Eastern_Europe.Micronesia	0.0555	0.229	0	0	1	2141.2717	0	0	
Geography.indicators.Eastern_Europe.Melanesia	0.0483	0.2144	0	0	0	2651.1674	0	0	
Geography.indicators.Northern_Africa.Eastern_Africa	0.0453	0.2081	0	0	0	1570.7816	0	0	
Geography.indicators.Northern_Africa.Western_Africa	0.0774	0.2673	0	0	1	1850.7329	0	0	
Geography.indicators.Northern_Africa.Southern_Africa	0.096	0.2946	0	0	1	2573.5976	0	0	
