statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
Geography.rates.Eastern_Europe.Micronesia	1.0017	0.9983	0.6944	6.30E-05	2.9944	9050.695	6.30E-05	0.6944
Geography.rates.Eastern_Europe.Melanesia	0.9877	1.0059	0.6749	2.34E-05	3.0004	8269.2187	1.20E-04	0.675
Geography.rates.Eastern_Africa.Western_Africa	1.1502	0.3972	1.0972	0.4812	1.9747	11028.3645	0.7812	1.269
Geography.rates.Eastern_Africa.Southern_Africa	1.1496	0.4211	1.0926	0.4112	1.9671	11167.6538	0.7544	1.2628
Geography.rates.Eastern_Africa.Micronesia	0.9918	0.9986	0.6844	9.98E-05	2.9631	9738.9591	3.36E-04	0.6844
Geography.rates.Eastern_Africa.Melanesia	0.8309	0.9552	0.4956	7.20E-05	2.744	4454.0455	1.32E-03	0.4961
Geography.rates.Western_Africa.Southern_Africa	0.9993	1.0064	0.6899	1.65E-04	3.0347	9496.834	9.61E-04	0.6902
Geography.rates.Western_Africa.Micronesia	0.9996	1.0048	0.6904	1.75E-04	2.9924	7839.2642	7.77E-04	0.6908
Geography.rates.Western_Africa.Melanesia	0.9837	1.0007	0.6809	3.13E-05	2.9703	9329.7272	1.76E-04	0.681
Geography.rates.Southern_Africa.Micronesia	0.9901	0.9985	0.6833	4.86E-05	2.9765	8434.9758	4.86E-05	0.6833
Geography.rates.Southern_Africa.Melanesia	0.9898	1.0074	0.6767	1.57E-04	2.9766	10108.912	6.67E-04	0.677
Geography.rates.Micronesia.Melanesia	0.9959	1.013	0.6831	3.62E-05	2.9908	9274.4725	3.62E-05	0.6831
Geography.indicators.Eastern_Asia.Central_Asia	0.047	0.2116	0	0	0	14413	0	0
Geography.indicators.Eastern_Asia.Western_Asia	5.20E-03	0.072	0	0	0	14413	0	0
Geography.indicators.Eastern_Asia.Southern_Asia	0.0112	0.1051	0	0	0	14413	0	0
Geography.indicators.Eastern_Asia.South_Eastern_Asia	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Eastern_Asia.Southern_Europe	7.15E-03	0.0842	0	0	0	13116.0789	0	0
Geography.indicators.Eastern_Asia.Western_Europe	5.90E-03	0.0766	0	0	0	14413	0	0
Geography.indicators.Eastern_Asia.Eastern_Europe	0.0443	0.2057	0	0	0	12710.8159	0	0
Geography.indicators.Eastern_Asia.Eastern_Africa	0.2643	0.441	0	0	1	12024.613	0	0
Geography.indicators.Eastern_Asia.Western_Africa	5.27E-03	0.0724	0	0	0	12271.6333	0	0
Geography.indicators.Eastern_Asia.Southern_Africa	5.55E-03	0.0743	0	0	0	13649.9098	0	0
Geography.indicators.Eastern_Asia.Micronesia	0.0164	0.1272	0	0	0	6451.4635	0	0
Geography.indicators.Eastern_Asia.Melanesia	4.58E-03	0.0675	0	0	0	14413	0	0
Geography.indicators.Central_Asia.Western_Asia	0.2618	0.4397	0	0	1	12301.3507	0	0
Geography.indicators.Central_Asia.Southern_Asia	0.9999	8.33E-03	1	1	1	14413	1	1
Geography.indicators.Central_Asia.South_Eastern_Asia	0.0355	0.1849	0	0	0	14151.4316	0	0
Geography.indicators.Central_Asia.Southern_Europe	5.90E-03	0.0766	0	0	0	14413	0	0
Geography.indicators.Central_Asia.Western_Europe	7.42E-03	0.0858	0	0	0	14193.2483	0	0
Geography.indicators.Central_Asia.Eastern_Europe	1	0	0	0	0	1.00E+05	0	0
Geography.indicators.Central_Asia.Eastern_Africa	2.57E-03	0.0506	0	0	0	13806.8302	0	0
Geography.indicators.Central_Asia.Western_Africa	2.98E-03	0.0545	0	0	0	13328.8395	0	0
Geography.indicators.Central_Asia.Southern_Africa	6.18E-03	0.0783	0	0	0	14413	0	0
Geography.indicators.Central_Asia.Micronesia	5.90E-03	0.0766	0	0	0	13458.1508	0	0
Geography.indicators.Central_Asia.Melanesia	4.65E-03	0.068	0	0	0	14413	0	0
Geography.indicators.Western_Asia.Southern_Asia	0.1803	0.3845	0	0	1	9961.8452	0	0
